Body 405: x=-2.703579, y=-1.823494, z=11.377133
Body 406: x=-8.837093, y=2.479340, z=-4.512722
Body 407: x=7.805957, y=-7.621085, z=-5.352584
Body 408: x=-2.326167, y=3.385811, z=-12.117107
Body 409: x=1.685859, y=3.583442, z=8.915033
Body 410: x=-9.333655, y=0.095693, z=9.703825
Body 411: x=-6.415786, y=3.911780, z=4.782701
Body 412: x=-1.144835, y=-5.293306, z=-9.931894
Body 413: x=-8.257051, y=2.633550, z=10.890399
Body 414: x=-7.999925, y=-1.606627, z=9.941709
Body 415: x=0.979011, y=13.057528, z=3.729462
Body 416: x=0.736786, y=-10.462157, z=8.460560
Body 417: x=-2.898874, y=12.221151, z=1.337989
Body 418: x=5.687959, y=3.724963, z=-8.847039
Body 419: x=-11.471327, y=-6.662195, z=-2.995806
Body 420: x=-10.252832, y=0.174498, z=-6.481116
Body 421: x=10.125681, y=0.893578, z=-8.246996
Body 422: x=-11.051694, y=-6.314832, z=-0.872257
Body 423: x=-4.241567, y=-0.120284, z=3.125997
Body 424: x=-2.963109, y=-7.207607, z=4.621555
Body 425: x=6.753529, y=-7.154722, z=-4.933797
Body 426: x=-10.429878, y=5.883340, z=6.319184
Body 427: x=4.159991, y=5.332157, z=10.059478
Body 428: x=-8.484591, y=4.293964, z=-8.043633
Body 429: x=-4.055918, y=2.903216, z=0.464779
Body 430: x=3.269456, y=-11.313120, z=6.225953
Body 431: x=-1.501064, y=13.931726, z=3.907507
Body 432: x=9.558179, y=6.219430, z=-4.229649
Body 433: x=-2.102610, y=-11.834691, z=0.601494
Body 434: x=8.289822, y=-6.828215, z=-2.610709
Body 435: x=-8.092404, y=-11.859196, z=0.261130
Body 436: x=7.931241, y=-2.666492, z=0.628744
Body 437: x=14.939497, y=0.329171, z=-0.587890
Body 438: x=10.532997, y=5.939689, z=1.598904
Body 439: x=-10.074937, y=-6.372807, z=1.520035
Body 440: x=12.563810, y=1.913782, z=5.383266
Body 441: x=-17.635826, y=-0.752489, z=-3.963277
Body 442: x=-7.651085, y=9.988229, z=-0.476121
