Body 375: x=-7.900344, y=8.684650, z=3.689083
Body 376: x=-2.076750, y=-2.517839, z=-7.603230
Body 377: x=-6.840436, y=3.097147, z=-6.197541
Body 378: x=-0.131303, y=-1.355967, z=8.004065
Body 379: x=14.859774, y=0.405916, z=-1.164736
Body 380: x=-2.920472, y=6.698079, z=-9.314334
Body 381: x=-8.968620, y=-1.013276, z=-0.677244
Body 382: x=-12.319277, y=1.996522, z=-0.159457
Body 383: x=-2.134457, y=-9.370770, z=-1.993148
Body 384: x=10.064352, y=1.352338, z=5.215078
Body 385: x=0.568971, y=8.347400, z=-6.019333
Body 386: x=2.931566, y=-9.245337, z=4.418648
Body 387: x=-14.968939, y=2.490481, z=2.063717
Body 388: x=-0.247906, y=-4.084661, z=0.017279
Body 389: x=-10.151639, y=-3.938741, z=4.182035
Body 390: x=-2.581073, y=-8.135318, z=9.435879
Body 391: x=6.162157, y=-0.592640, z=13.368763
Body 392: x=2.795979, y=2.055747, z=-6.816927
Body 393: x=2.418248, y=2.151626, z=1.633566
Body 394: x=-8.068890, y=3.481553, z=-3.547245
Body 395: x=8.787891, y=3.885681, z=-6.085527
Body 396: x=4.871883, y=-4.036891, z=-5.686801
Body 397: x=-5.666447, y=-0.876099, z=-2.047662
Body 398: x=5.823385, y=-1.987141, z=-8.959897
Body 399: x=-2.862868, y=3.256235, z=-6.319402
Body 400: x=3.833717, y=-1.424962, z=5.189628
Body 401: x=-0.783635, y=-13.345165, z=-1.492144
Body 402: x=2.323029, y=-11.412554, z=6.334955
Body 403: x=1.382050, y=-3.129937, z=12.190042
Body 404: x=-2.521936, y=-9.423573, z=8.959566
Body 405: x=-2.703609, y=-1.823502, z=11.377255
Body 406: x=-8.837169, y=2.479334, z=-4.512740
Body 407: x=7.805934, y=-7.621028, z=-5.352604
Body 408: x=-2.326147, y=3.385792, z=-12.117188
Body 409: x=1.685869, y=3.583464, z=8.915016
Body 410: x=-9.333554, y=0.095692, z=9.703693
Body 411: x=-6.415739, y=3.911859, z=4.782614
Body 412: x=-1.144844, y=-5.293366, z=-9.931996
Body 413: x=-8.257007, y=2.633546, z=10.890565
Body 414: x=-7.999896, y=-1.606623, z=9.941680
Body 415: x=0.979014, y=13.057680, z=3.729506
Body 416: x=0.736784, y=-10.462221, z=8.460487
Body 417: x=-2.898863, y=12.221226, z=1.337991
Body 418: x=5.687915, y=3.724992, z=-8.847071
Body 419: x=-11.471219, y=-6.662236, z=-2.995768
Body 420: x=-10.252821, y=0.174500, z=-6.481125
Body 421: x=10.125703, y=0.893594, z=-8.247054
Body 422: x=-11.051681, y=-6.314841, z=-0.872252
Body 423: x=-4.241560, y=-0.120285, z=3.126026
Body 424: x=-2.963079, y=-7.207649, z=4.621539
Body 425: x=6.753526, y=-7.154765, z=-4.933813
Body 426: x=-10.429773, y=5.883418, z=6.319223
Body 427: x=4.159976, y=5.332071, z=10.059440
Body 428: x=-8.484467, y=4.293904, z=-8.043568
Body 429: x=-4.055853, y=2.903225, z=0.464781
Body 430: x=3.269500, y=-11.313024, z=6.226030
Body 431: x=-1.501058, y=13.931565, z=3.907472
Body 432: x=9.558204, y=6.219295, z=-4.229602
Body 433: x=-2.102579, y=-11.834731, z=0.601490
Body 434: x=8.289892, y=-6.828229, z=-2.610714
Body 435: x=-8.092406, y=-11.859166, z=0.261130
Body 436: x=7.931231, y=-2.666547, z=0.628742
Body 437: x=14.939603, y=0.329169, z=-0.587895
Body 438: x=10.532915, y=5.939637, z=1.598889
Body 439: x=-10.074848, y=-6.372736, z=1.520020
Body 440: x=12.563860, y=1.913803, z=5.383299
Body 441: x=-17.635992, y=-0.752476, z=-3.963292
Body 442: x=-7.651167, y=9.988207, z=-0.476119
Body 443: x=-6.449997, y=-13.108658, z=-0.010270
Body 444: x=-6.292098, y=0.162033, z=-11.934731
Body 445: x=1.924208, y=10.330536, z=-4.932180
Body 446: x=-4.507247, y=-1.221465, z=-6.793683
Body 447: x=-0.317301, y=-5.927356, z=-13.202017
Body 448: x=1.886699, y=12.203927, z=-6.036813
Body 449: x=7.491530, y=4.137407, z=-8.534174
Body 450: x=2.583846, y=-6.524758, z=6.623908
