Body 481: x=-4.974526, y=-2.146523, z=0.364824
Body 482: x=2.395692, y=-1.996930, z=3.819922
Body 483: x=1.808387, y=2.579675, z=4.859707
Body 484: x=-4.411049, y=-1.587754, z=3.749037
Body 485: x=-3.483195, y=-3.709524, z=-1.444711
Body 486: x=2.279668, y=4.011186, z=-1.804255
Body 487: x=-2.953239, y=-0.471851, z=0.804869
Body 488: x=-1.178165, y=1.790941, z=1.631034
Body 489: x=3.681111, y=1.910444, z=-1.623675
Body 490: x=-5.753664, y=0.087145, z=-1.927764
Body 491: x=-1.197404, y=4.907089, z=3.136923
Body 492: x=3.363459, y=0.115180, z=-4.338442
Body 493: x=-2.634574, y=-4.634429, z=1.624343
Body 494: x=3.920709, y=-1.383545, z=-4.857893
Body 495: x=0.058161, y=4.472464, z=-4.171070
Body 496: x=3.726377, y=-0.474886, z=-3.430077
Body 497: x=-0.824003, y=2.559376, z=-5.855328
Body 498: x=0.215857, y=0.656637, z=3.026454
Body 499: x=-0.428334, y=-4.135097, z=-0.353295
Body 500: x=9.259575, y=2.268232, z=-3.324554
Body 501: x=-3.206892, y=0.807426, z=-4.790662
Body 502: x=2.679705, y=1.217588, z=5.617495
Body 503: x=0.449330, y=0.548986, z=2.515049
Body 504: x=-0.046856, y=-5.057012, z=-3.400454
Body 505: x=-2.819867, y=-0.618675, z=1.484165
Body 506: x=-1.483661, y=0.836396, z=6.453277
