Body 224: x=-3.160909, y=0.195562, z=1.313960
Body 225: x=-1.463712, y=2.003796, z=6.175642
Body 226: x=-5.628889, y=1.189995, z=2.588766
Body 227: x=1.352075, y=-2.482890, z=-0.517867
Body 228: x=-1.586015, y=6.313511, z=-1.802164
Body 229: x=3.173170, y=2.535642, z=-3.412282
Body 230: x=-0.657990, y=1.008396, z=-7.649827
Body 231: x=-0.948213, y=1.104843, z=6.700006
Body 232: x=8.696691, y=-1.754836, z=-3.830886
Body 233: x=-1.820091, y=-2.092781, z=5.318740
Body 234: x=7.191787, y=0.640578, z=-0.331103
Body 235: x=-2.495769, y=0.982584, z=-1.705451
Body 236: x=0.913265, y=0.231874, z=0.025902
Body 237: x=4.886480, y=1.548831, z=-2.241140
Body 238: x=-0.379340, y=-1.438721, z=-1.083283
Body 239: x=-6.643141, y=1.054075, z=-0.166493
Body 240: x=-2.532519, y=-4.277596, z=-0.628570
Body 241: x=0.028369, y=-5.370504, z=3.652760
Body 242: x=-6.701773, y=-0.161912, z=-1.343094
Body 243: x=-0.178579, y=-0.121217, z=5.065517
Body 244: x=3.623084, y=4.887815, z=0.277913
Body 245: x=-0.790671, y=1.843623, z=-0.065016
Body 246: x=-1.877659, y=1.529061, z=5.692427
Body 247: x=2.585427, y=0.953601, z=-5.849720
Body 248: x=3.596546, y=-0.701902, z=0.055281
Body 249: x=-1.444952, y=-3.025106, z=-0.480383
Body 250: x=-2.376071, y=-2.731728, z=0.204169
Body 251: x=2.567294, y=-4.579895, z=-1.075648
Body 252: x=-3.193172, y=-1.767768, z=2.355312
Body 253: x=-2.703419, y=-1.056978, z=-4.930926
Body 254: x=-4.279273, y=-1.195997, z=1.165168
Body 255: x=-0.028556, y=0.344300, z=2.982577
Body 256: x=1.069370, y=-2.606269, z=-3.912234
Body 257: x=-1.668089, y=4.842598, z=2.078804
Body 258: x=0.981803, y=-1.703297, z=2.478799
Body 259: x=-3.737890, y=-1.312021, z=-4.711029
Body 260: x=-2.745985, y=-0.560826, z=4.179305
Body 261: x=2.549541, y=-3.228042, z=-2.684256
Body 262: x=-1.089711, y=0.578148, z=5.154863
Body 263: x=0.416759, y=-4.270325, z=-0.600112
Body 264: x=3.024971, y=4.974670, z=1.435720
Body 265: x=-1.418695, y=4.686026, z=-3.557884
Body 266: x=-2.420665, y=2.305293, z=1.161318
Body 267: x=-0.720618, y=5.601543, z=0.884327
Body 268: x=-1.637857, y=1.203783, z=-2.252452
Body 269: x=-1.672355, y=2.308308, z=-3.386453
Body 270: x=1.507407, y=5.581112, z=2.403737
Body 271: x=-2.182036, y=-1.971416, z=0.959114
Body 272: x=-3.657025, y=-1.284538, z=-4.442101
Body 273: x=2.647332, y=5.360647, z=1.767779
Body 274: x=-1.657955, y=-5.862642, z=-1.342682
Body 275: x=-0.504845, y=4.880122, z=-3.760276
Body 276: x=-4.057338, y=-4.112669, z=0.405504
Body 277: x=4.190392, y=-1.684719, z=0.257493
Body 278: x=-5.063253, y=1.045917, z=-3.439275
Body 279: x=-1.250463, y=-2.929521, z=4.643626
Body 280: x=1.416737, y=-2.912806, z=-4.926074
Body 281: x=-4.400846, y=0.373248, z=4.242270
Body 282: x=4.674027, y=-4.055162, z=-0.746052
Body 283: x=0.556183, y=-4.917815, z=3.728830
Body 284: x=0.450889, y=-3.598374, z=5.236537
Body 285: x=0.339767, y=0.360177, z=3.303973
Body 286: x=-1.341666, y=-0.501724, z=2.521177
Body 287: x=0.379753, y=3.205884, z=-5.011592
Body 288: x=-1.598424, y=-4.899169, z=-2.505783
Body 289: x=2.961153, y=-1.473256, z=4.704722
Body 290: x=0.366097, y=-2.172453, z=-2.953228
Body 291: x=-0.567306, y=-1.538065, z=-5.354877
Body 292: x=-3.418458, y=-2.431833, z=4.047876
Body 293: x=-2.470877, y=-2.266287, z=-2.368578
Body 294: x=-3.299814, y=-1.856856, z=-1.531306
Body 295: x=5.566193, y=1.664700, z=-0.999949
Body 296: x=4.437601, y=-0.075502, z=0.718303
Body 297: x=5.717053, y=1.520321, z=-0.215381
Body 298: x=-3.697380, y=-2.485172, z=3.024448
Body 299: x=-1.724569, y=2.385569, z=0.420361
Body 300: x=3.237450, y=2.663394, z=-1.050549
Body 301: x=0.747991, y=2.266252, z=5.707017
Body 302: x=-0.989741, y=0.234924, z=-4.017965
Body 303: x=-0.325394, y=-1.208241, z=-3.403865
Body 304: x=0.399694, y=-3.744740, z=-0.112978
Body 305: x=2.564665, y=1.281646, z=-5.073938
Body 306: x=1.940424, y=-0.493306, z=2.137646
Body 307: x=3.796086, y=4.104723, z=1.321369
Body 308: x=-3.389400, y=-2.247449, z=0.454317
Body 309: x=-2.734602, y=-4.038592, z=0.745206
Body 310: x=4.093155, y=-3.064057, z=-1.830920
Body 311: x=5.184037, y=3.307288, z=0.274037
Body 312: x=4.249109, y=-0.413708, z=-4.347122
Body 313: x=3.552853, y=3.334281, z=-1.917284
Body 314: x=8.539496, y=-4.213434, z=-6.981008
Body 315: x=5.707191, y=-2.431926, z=-0.981424
Body 316: x=-4.517505, y=-2.837052, z=1.926619
Body 317: x=2.025693, y=4.866791, z=-0.773387
Body 318: x=-3.798066, y=2.183472, z=4.729401
Body 319: x=3.981633, y=3.060175, z=1.759054
Body 320: x=-3.490366, y=-1.660433, z=-3.077842
Body 321: x=-6.296051, y=0.125303, z=0.872742
Body 322: x=0.171778, y=6.822287, z=-0.931550
Body 323: x=-6.613609, y=0.979601, z=-0.285770
Body 324: x=-5.236881, y=-3.999920, z=-3.743127
Body 325: x=2.947231, y=-1.589770, z=2.681410
Body 326: x=-1.735890, y=3.566302, z=2.160214
Body 327: x=-0.367111, y=-5.428423, z=3.537966
Body 328: x=2.968441, y=-4.754245, z=-1.340404
Body 329: x=0.559861, y=-4.353808, z=-2.250002
Body 330: x=-2.338641, y=3.802865, z=2.949850
Body 331: x=-2.718181, y=-4.330690, z=-1.247032
Body 332: x=4.015372, y=0.575463, z=2.737497
Body 333: x=-0.779241, y=-3.136939, z=6.596064
Body 334: x=1.540775, y=-3.024189, z=-4.200407
Body 335: x=-1.044994, y=-1.975558, z=5.476661
Body 336: x=2.623897, y=-0.749614, z=3.349730
Body 337: x=4.484852, y=-3.671670, z=-0.414864
Body 338: x=-0.443864, y=-1.220311, z=-2.883179
Body 339: x=-0.790270, y=2.699119, z=-4.670675
Body 340: x=0.940832, y=-2.109173, z=-3.473721
Body 341: x=-2.900917, y=-1.574565, z=3.857500
Body 342: x=4.294364, y=-2.083960, z=-1.329940
Body 343: x=-2.660008, y=-1.811187, z=1.668241
Body 344: x=-1.123818, y=-6.489450, z=2.210961
Body 345: x=-0.475215, y=4.772060, z=3.742991
Body 346: x=-6.823584, y=1.065844, z=1.324115
Body 347: x=-6.225787, y=-0.151675, z=-1.435060
Body 348: x=2.032343, y=-5.092854, z=0.541746
Body 349: x=1.951283, y=-5.913632, z=-4.196287
Body 350: x=1.701181, y=5.004628, z=1.739576
Body 351: x=-4.578519, y=-0.061598, z=3.320805
Body 352: x=2.947924, y=-0.131055, z=5.602284
Body 353: x=-0.840515, y=0.569777, z=5.941438
Body 354: x=-2.251822, y=-4.369864, z=2.382051
Body 355: x=-2.098794, y=2.993361, z=-3.895171
Body 356: x=-3.603067, y=0.364832, z=-5.048508
Body 357: x=-0.724850, y=-2.092716, z=4.283089
Body 358: x=-2.035742, y=4.814150, z=-1.520820
Body 359: x=2.943119, y=-4.682932, z=-1.601609
Body 360: x=2.832572, y=4.661745, z=-1.885778
Body 361: x=-1.234884, y=4.610651, z=-0.359999
Body 362: x=3.595105, y=-1.789433, z=-4.109689
Body 363: x=-0.450638, y=7.068272, z=-0.093129
Body 364: x=3.240919, y=5.779840, z=-0.801177
Body 365: x=1.595793, y=-2.923166, z=3.845026
Body 366: x=4.847335, y=-1.299393, z=-0.373750
Body 367: x=-4.725746, y=1.209005, z=0.565781
Body 368: x=4.179474, y=2.620740, z=-1.870352
Body 369: x=1.839495, y=-1.516621, z=-0.951197
Body 370: x=-3.604986, y=-1.412885, z=-3.398378
Body 371: x=0.434610, y=-4.843608, z=0.236484
Body 372: x=-2.185155, y=0.095825, z=5.196052
Body 373: x=-3.530976, y=1.116359, z=-4.979831
Body 374: x=1.806633, y=1.635536, z=4.334676
Body 375: x=-3.675755, y=3.809316, z=1.505383
Body 376: x=-1.139160, y=-0.716452, z=-3.550552
Body 377: x=-2.980735, y=1.246005, z=-2.808106
Body 378: x=0.448879, y=-1.243296, z=4.772639
Body 379: x=6.948470, y=0.189603, z=-0.453679
Body 380: x=-1.021359, y=3.104114, z=-4.062786
Body 381: x=-3.883032, y=-0.496212, z=-0.611631
Body 382: x=-5.902647, y=1.056039, z=0.048166
Body 383: x=-1.159779, y=-4.747864, z=-0.663331
Body 384: x=4.843741, y=0.609366, z=2.506106
Body 385: x=0.069923, y=3.640753, z=-2.727192
Body 386: x=1.537094, y=-4.007512, z=2.218243
Body 387: x=-6.977974, y=0.935069, z=0.827433
Body 388: x=-0.133378, y=-1.781416, z=0.021099
Body 389: x=-5.428508, y=-1.825498, z=2.402573
Body 390: x=-1.228586, y=-3.583439, z=4.355265
Body 391: x=2.797306, y=-0.116273, z=6.158510
Body 392: x=1.317599, y=0.814767, z=-3.260571
Body 393: x=1.406497, y=1.073295, z=0.649379
Body 394: x=-3.827248, y=1.577225, z=-1.596505
Body 395: x=4.118088, y=0.503144, z=-2.356255
Body 396: x=2.255693, y=-1.834615, z=-2.585257
Body 397: x=-2.454463, y=-0.369244, z=-1.032303
Body 398: x=2.466777, y=-1.203688, z=-4.683627
Body 399: x=-1.469419, y=1.448950, z=-3.060163
Body 400: x=1.793052, y=-0.832827, z=2.515423
Body 401: x=0.490970, y=-6.844441, z=-0.255154
Body 402: x=1.406903, y=-5.291724, z=3.047516
Body 403: x=0.579311, y=-1.474679, z=5.658532
Body 404: x=-1.165038, y=-4.490684, z=4.004865
Body 405: x=-1.128275, y=-0.817789, z=5.299105
Body 406: x=-4.128964, y=0.998543, z=-2.089834
Body 407: x=3.449580, y=-3.505092, z=-2.355425
Body 408: x=-1.016135, y=1.743315, z=-5.726503
Body 409: x=0.478758, y=1.555426, z=3.952685
Body 410: x=-4.087650, y=0.005579, z=4.286426
Body 411: x=-1.556167, y=1.630247, z=2.855075
Body 412: x=-0.801736, y=-2.205632, z=-4.507149
Body 413: x=-1.947192, y=-0.412766, z=5.533184
Body 414: x=-3.523953, y=-0.617038, z=4.503971
Body 415: x=0.457718, y=6.513347, z=1.479497
Body 416: x=0.069189, y=-4.695033, z=3.760913
Body 417: x=-0.996741, y=5.768134, z=0.439939
Body 418: x=2.333244, y=1.627229, z=-4.177190
Body 419: x=-5.178020, y=-2.784236, z=-1.085424
Body 420: x=-4.871775, y=0.186172, z=-2.928986
Body 421: x=4.462201, y=0.373619, z=-3.498847
Body 422: x=-4.913538, y=-2.849508, z=-0.355628
Body 423: x=-2.238428, y=0.088403, z=1.355702
Body 424: x=-1.596767, y=-2.998862, z=1.941725
Body 425: x=3.155775, y=-3.057209, z=-2.385934
Body 426: x=-5.113147, y=2.408188, z=2.773336
Body 427: x=1.642442, y=2.692720, z=4.791892
Body 428: x=-3.550061, y=1.961746, z=-3.767731
Body 429: x=-2.038456, y=1.182102, z=0.041676
Body 430: x=1.539251, y=-5.302003, z=2.595680
Body 431: x=-1.099082, y=6.691377, z=1.539219
Body 432: x=4.347284, y=2.763248, z=-1.744715
Body 433: x=-1.011361, y=-5.815971, z=1.250746
Body 434: x=3.791987, y=-3.047354, z=-1.149238
Body 435: x=-3.497073, y=-5.716034, z=0.104431
Body 436: x=2.994774, y=-1.356756, z=0.490128
Body 437: x=6.978249, y=0.147447, z=-0.173385
Body 438: x=4.760900, y=2.681032, z=0.704479
Body 439: x=-4.603207, y=-2.825395, z=0.641705
Body 440: x=5.735149, y=0.903125, z=2.373452
Body 441: x=-6.515468, y=-0.595743, z=-1.575933
Body 442: x=-3.812685, y=5.023020, z=0.280190
Body 443: x=-3.025494, y=-5.987082, z=0.004182
Body 444: x=-2.753464, y=0.205245, z=-5.635041
Body 445: x=0.783647, y=4.783685, z=-2.218750
Body 446: x=-2.317548, y=-0.609445, z=-2.686783
Body 447: x=-0.252177, y=-2.591574, z=-6.372948
Body 448: x=0.943535, y=5.780534, z=-2.657384
Body 449: x=3.193387, y=1.740150, z=-3.680129
Body 450: x=1.200688, y=-2.890151, z=3.142525
Body 451: x=1.618486, y=6.473135, z=1.191693
Body 452: x=-3.045545, y=-4.141901, z=1.525203
Body 453: x=-2.810821, y=0.509011, z=1.112381
Body 454: x=5.389838, y=0.870660, z=-2.301765
Body 455: x=2.923728, y=-1.663497, z=-4.819067
Body 456: x=3.390061, y=4.207161, z=1.311060
Body 457: x=-3.263867, y=4.663126, z=-1.451062
Body 458: x=1.086632, y=-1.867992, z=2.647656
Body 459: x=0.191947, y=1.745759, z=-6.803932
Body 460: x=-0.042780, y=-0.077362, z=7.384084
Body 461: x=-1.061219, y=4.943400, z=-3.364942
Body 462: x=-2.015195, y=0.481023, z=4.751072
Body 463: x=1.959549, y=-4.599199, z=-1.799477
Body 464: x=2.995280, y=3.500545, z=2.058514
Body 465: x=-0.938631, y=-4.524679, z=4.954502
Body 466: x=0.975198, y=-3.480505, z=-4.688406
Body 467: x=1.845704, y=-1.395321, z=-5.521238
Body 468: x=0.412828, y=0.390815, z=3.060172
Body 469: x=3.312483, y=1.798157, z=3.980806
Body 470: x=-5.037362, y=-2.706852, z=0.923760
Body 471: x=7.053231, y=-0.904324, z=-0.538622
Body 472: x=0.043943, y=4.668078, z=2.450979
Body 473: x=-1.987309, y=4.878349, z=-2.632323
Body 474: x=5.250025, y=1.506186, z=2.456990
Body 475: x=-1.025959, y=-0.693261, z=2.571941
Body 476: x=-1.164518, y=-0.584396, z=3.069327
Body 477: x=-1.704055, y=4.742083, z=3.110762
Body 478: x=0.817410, y=1.187052, z=-3.394101
Body 479: x=2.958920, y=0.073594, z=3.286461
Body 480: x=-3.923009, y=3.249616, z=0.818814
Body 481: x=-4.974513, y=-2.146534, z=0.364823
Body 482: x=2.395689, y=-1.996922, z=3.819922
Body 483: x=1.808392, y=2.579693, z=4.859695
Body 484: x=-4.411039, y=-1.587733, z=3.749058
Body 485: x=-3.483186, y=-3.709519, z=-1.444709
Body 486: x=2.279662, y=4.011201, z=-1.804260
Body 487: x=-2.953230, y=-0.471855, z=0.804880
Body 488: x=-1.178161, y=1.790959, z=1.631034
Body 489: x=3.681097, y=1.910429, z=-1.623675
Body 490: x=-5.753686, y=0.087145, z=-1.927744
Body 491: x=-1.197401, y=4.907085, z=3.136931
Body 492: x=3.363437, y=0.115182, z=-4.338412
Body 493: x=-2.634585, y=-4.634434, z=1.624328
Body 494: x=3.920722, y=-1.383531, z=-4.857911
Body 495: x=0.058159, y=4.472450, z=-4.171117
Body 496: x=3.726363, y=-0.474885, z=-3.430102
Body 497: x=-0.824003, y=2.559371, z=-5.855330
Body 498: x=0.215858, y=0.656642, z=3.026439
Body 499: x=-0.428340, y=-4.135102, z=-0.353297
