Body 441: x=-6.515468, y=-0.595743, z=-1.575933
Body 442: x=-3.812685, y=5.023020, z=0.280190
Body 443: x=-3.025494, y=-5.987082, z=0.004182
Body 444: x=-2.753463, y=0.205245, z=-5.635042
Body 445: x=0.783647, y=4.783685, z=-2.218750
Body 446: x=-2.317549, y=-0.609445, z=-2.686783
Body 447: x=-0.252177, y=-2.591575, z=-6.372948
Body 448: x=0.943535, y=5.780534, z=-2.657384
Body 449: x=3.193388, y=1.740150, z=-3.680129
Body 450: x=1.200687, y=-2.890151, z=3.142524
Body 451: x=1.618486, y=6.473135, z=1.191693
Body 452: x=-3.045545, y=-4.141901, z=1.525203
Body 453: x=-2.810821, y=0.509011, z=1.112381
Body 454: x=5.389838, y=0.870660, z=-2.301765
Body 455: x=2.923728, y=-1.663497, z=-4.819067
Body 456: x=3.390061, y=4.207161, z=1.311060
Body 457: x=-3.263867, y=4.663126, z=-1.451062
Body 458: x=1.086632, y=-1.867992, z=2.647656
Body 459: x=0.191947, y=1.745759, z=-6.803932
Body 460: x=-0.042780, y=-0.077362, z=7.384084
Body 461: x=-1.061219, y=4.943400, z=-3.364942
Body 462: x=-2.015195, y=0.481023, z=4.751072
Body 463: x=1.959549, y=-4.599198, z=-1.799477
Body 464: x=2.995280, y=3.500545, z=2.058513
Body 465: x=-0.938631, y=-4.524679, z=4.954501
Body 466: x=0.975198, y=-3.480505, z=-4.688406
Body 467: x=1.845704, y=-1.395321, z=-5.521238
Body 468: x=0.412828, y=0.390815, z=3.060172
Body 469: x=3.312483, y=1.798157, z=3.980806
Body 470: x=-5.037362, y=-2.706852, z=0.923760
Body 471: x=7.053231, y=-0.904324, z=-0.538622
Body 472: x=0.043943, y=4.668078, z=2.450979
Body 473: x=-1.987309, y=4.878350, z=-2.632324
Body 474: x=5.250026, y=1.506186, z=2.456990
Body 475: x=-1.025960, y=-0.693261, z=2.571941
Body 476: x=-1.164518, y=-0.584397, z=3.069327
Body 477: x=-1.704056, y=4.742084, z=3.110762
Body 478: x=0.817410, y=1.187052, z=-3.394100
Body 479: x=2.958920, y=0.073594, z=3.286461
Body 480: x=-3.923009, y=3.249616, z=0.818814
Body 481: x=-4.974514, y=-2.146534, z=0.364823
Body 482: x=2.395689, y=-1.996922, z=3.819922
Body 483: x=1.808392, y=2.579693, z=4.859695
Body 484: x=-4.411039, y=-1.587733, z=3.749058
Body 485: x=-3.483185, y=-3.709519, z=-1.444709
Body 486: x=2.279662, y=4.011200, z=-1.804260
Body 487: x=-2.953230, y=-0.471855, z=0.804880
Body 488: x=-1.178160, y=1.790958, z=1.631034
Body 489: x=3.681098, y=1.910429, z=-1.623675
Body 490: x=-5.753686, y=0.087145, z=-1.927744
Body 491: x=-1.197401, y=4.907084, z=3.136931
Body 492: x=3.363437, y=0.115182, z=-4.338413
Body 493: x=-2.634586, y=-4.634435, z=1.624328
Body 494: x=3.920722, y=-1.383531, z=-4.857911
Body 495: x=0.058159, y=4.472450, z=-4.171117
Body 496: x=3.726364, y=-0.474885, z=-3.430100
Body 497: x=-0.824003, y=2.559372, z=-5.855330
Body 498: x=0.215858, y=0.656643, z=3.026438
Body 499: x=-0.428340, y=-4.135102, z=-0.353296
Body 500: x=9.259585, y=2.268257, z=-3.324543
Body 501: x=-3.206907, y=0.807430, z=-4.790657
Body 502: x=2.679699, y=1.217588, z=5.617468
Body 503: x=0.449333, y=0.548990, z=2.515049
Body 504: x=-0.046848, y=-5.057026, z=-3.400461
Body 505: x=-2.819873, y=-0.618667, z=1.484160
Body 506: x=-1.483656, y=0.836401, z=6.453246
