Body 419: x=0.981640, y=0.816887, z=0.506598
Body 420: x=0.843511, y=-0.054758, z=0.679452
Body 421: x=-0.850176, y=-0.168878, z=0.781612
Body 422: x=0.817405, y=0.596530, z=0.036087
Body 423: x=0.346207, y=0.023727, z=-0.228335
Body 424: x=0.288682, y=0.598029, z=-0.431551
Body 425: x=-0.604627, y=0.534355, z=0.469382
Body 426: x=0.958308, y=-0.756794, z=-0.741613
Body 427: x=-0.400207, y=-0.596975, z=-0.811761
Body 428: x=0.784423, y=-0.560319, z=0.777238
Body 429: x=0.337650, y=-0.204508, z=-0.038345
Body 430: x=-0.559760, y=0.976145, z=-0.803146
Body 431: x=0.326887, y=-0.980721, z=-0.456558
Body 432: x=-0.833017, y=-0.651008, z=0.522087
Body 433: x=0.118733, y=0.759296, z=0.045243
Body 434: x=-0.730402, y=0.663034, z=0.337547
Body 435: x=0.883753, y=0.999374, z=-0.095536
Body 436: x=-0.609156, y=0.205884, z=-0.025286
Body 437: x=-0.936652, y=-0.031860, z=0.062905
Body 438: x=-0.799002, y=-0.547904, z=-0.192926
Body 439: x=0.798296, y=0.607665, z=-0.214508
Body 440: x=-0.945839, y=-0.267329, z=-0.665999
Body 441: x=0.924060, y=0.214121, z=0.428881
Body 442: x=0.622686, y=-0.778244, z=0.188179
Body 443: x=0.723369, y=0.998189, z=-0.036362
Body 444: x=0.662901, y=0.032726, z=0.919370
Body 445: x=-0.186980, y=-0.767270, z=0.490959
Body 446: x=0.380018, y=0.105416, z=0.558358
Body 447: x=0.038938, y=0.636876, z=0.928521
Body 448: x=-0.231341, y=-0.944163, z=0.713902
Body 449: x=-0.945998, y=-0.740819, z=0.991059
Body 450: x=-0.278340, y=0.530594, z=-0.587643
Body 451: x=-0.453145, y=-0.932367, z=-0.290871
Body 452: x=0.821979, y=0.925469, z=-0.629806
Body 453: x=0.456212, y=-0.068756, z=-0.231501
Body 454: x=-0.881553, y=-0.292457, z=0.613960
Body 455: x=-0.700866, y=0.412574, z=0.872129
Body 456: x=-0.694796, y=-0.817952, z=-0.362624
Body 457: x=0.737651, y=-0.880760, z=0.459377
Body 458: x=-0.169492, y=0.295953, z=-0.436793
Body 459: x=-0.056214, y=-0.405485, z=0.934291
Body 460: x=-0.090719, y=0.033155, z=-0.972220
Body 461: x=0.361154, y=-0.960149, z=0.835021
Body 462: x=0.502438, y=-0.198165, z=-0.758477
Body 463: x=-0.416222, y=0.750188, z=0.407216
Body 464: x=-0.636266, y=-0.717019, z=-0.532202
Body 465: x=-0.076770, y=0.760008, z=-0.775026
Body 466: x=-0.406018, y=0.912572, z=0.989471
Body 467: x=-0.418714, y=0.383540, z=0.845489
Body 468: x=-0.075928, y=-0.080867, z=-0.474642
Body 469: x=-0.805429, y=-0.560148, z=-0.862466
Body 470: x=0.844188, y=0.671107, z=-0.241731
Body 471: x=-0.991218, y=0.226099, z=0.212259
Body 472: x=0.051907, y=-0.753613, z=-0.513099
Body 473: x=0.662567, y=-0.996732, z=0.771389
Body 474: x=-0.967522, y=-0.460874, z=-0.722639
Body 475: x=0.178273, y=0.055683, z=-0.293655
Body 476: x=0.226229, y=0.143627, z=-0.465440
Body 477: x=0.531849, y=-0.796212, z=-0.543951
Body 478: x=-0.138995, y=-0.226249, z=0.548513
Body 479: x=-0.540097, y=0.004154, z=-0.577806
Body 480: x=0.762501, y=-0.657561, z=-0.320627
Body 481: x=0.787307, y=0.515211, z=-0.072155
Body 482: x=-0.458471, y=0.495548, z=-0.706487
Body 483: x=-0.487177, y=-0.614698, z=-0.831552
Body 484: x=0.934403, y=0.467599, z=-0.865723
Body 485: x=0.970288, y=0.977364, z=0.670882
Body 486: x=-0.556121, y=-0.756483, z=0.445074
Body 487: x=0.471449, y=0.116912, z=-0.125679
Body 488: x=0.149658, y=-0.362688, z=-0.206080
Body 489: x=-0.561771, y=-0.356949, z=0.279216
Body 490: x=0.890948, y=-0.020063, z=0.481442
Body 491: x=0.481694, y=-0.936524, z=-0.828832
Body 492: x=-0.684458, y=-0.103351, z=0.873464
Body 493: x=0.588480, y=0.801268, z=-0.354734
Body 494: x=-0.815984, y=0.547603, z=0.986965
Body 495: x=-0.062689, y=-0.978944, z=0.966550
Body 496: x=-0.663596, y=0.054581, z=0.639624
Body 497: x=0.274124, y=-0.713109, z=0.971472
Body 498: x=0.165542, y=0.075234, z=-0.565649
Body 499: x=0.144722, y=0.631650, z=0.101327
Body 500: x=-0.891700, y=-0.977807, z=0.242492
Body 501: x=0.660998, y=-0.212650, z=0.859960
Body 502: x=-0.634555, y=-0.420953, z=-0.891800
Body 503: x=-0.020000, y=-0.117823, z=-0.359812
Body 504: x=-0.061924, y=0.827706, z=0.729472
Body 505: x=0.270838, y=0.077692, z=-0.153452
Body 506: x=0.328708, y=-0.196459, z=-0.925155
Body 507: x=-0.000023, y=-0.520392, z=0.948815
Body 508: x=-0.316870, y=0.806526, z=-0.442373
Body 509: x=0.431140, y=-0.851047, z=0.058317
